data_comp,model,item_feat,user_feat,components,num_epochs,learning_rate,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
UsersEmotions,lm_results,item,user_all,10,10,0.01,1.0919,3.3769,6.1121,27.9941,43.8766,16.4903,0.51,0.0,3.33,0.0,0.0,0.0,0.0,14.8281,24.4219
UsersEmotions,lm_results,item,user_all,10,20,0.01,1.0919,3.4444,6.3035,27.9041,43.8991,16.5286,0.51,0.0,3.31,0.0,0.0,0.0,0.0,28.9531,24.5937
UsersEmotions,lm_results,item,user_all,10,5,0.05,1.0919,3.4444,6.5511,27.9716,43.7078,16.5534,0.51,0.0,3.32,0.0,0.0,0.0,0.0,7.1406,24.4375
UsersEmotions,lm_results,item,user_all,10,10,0.05,1.0919,3.3769,6.6074,27.8478,43.9329,16.5714,0.51,0.0,3.31,0.0,0.0,0.0,0.0,14.2344,24.4687
UsersEmotions,lm_results,item,user_all,10,20,0.05,1.0919,3.4444,6.6074,27.6452,44.0792,16.5736,0.51,0.0,3.31,0.0,0.0,0.0,0.0,28.4218,24.4531
UsersEmotions,lm_results,item,user_all,10,5,0.1,1.0919,3.4444,6.6074,28.118,43.6065,16.5736,0.51,0.0,3.31,0.0,0.0,0.0,0.0,7.1406,24.4062
UsersEmotions,lm_results,item,user_all,10,10,0.1,1.0919,3.2756,6.5511,28.0617,44.1805,16.6322,0.51,0.0,3.32,0.0,0.0,0.0,0.0,14.5937,24.625
UsersEmotions,lm_results,item,user_all,10,20,0.1,1.0919,3.4444,6.3035,27.6452,43.8429,16.4656,0.51,0.0,3.31,0.0,0.0,0.0,0.0,28.3906,24.375
UsersEmotions,lm_results,item,user_all,10,5,0.15,1.0919,3.3318,6.7312,28.1742,43.7303,16.6119,0.51,0.0,3.33,0.0,0.0,0.0,0.0,7.1094,24.375
UsersEmotions,lm_results,item,user_all,10,10,0.15,1.1932,4.8627,9.7141,33.2508,48.9419,19.5925,1.33,39.33,3.47,0.0,0.0,0.0,0.0,14.2031,24.5459
UsersEmotions,lm_results,item,user_all,10,20,0.15,0.7542,4.3336,8.3633,31.3597,47.5687,18.4759,1.18,28.11,3.4,0.0,0.0,0.0,0.0,28.4531,24.375
UsersEmotions,lm_results,item,user_all,10,5,0.2,1.1481,4.1085,8.7686,30.1778,46.5218,18.145,1.13,21.03,3.37,0.0,0.0,0.0,0.0,7.125,24.3744
UsersEmotions,lm_results,item,user_all,10,10,0.2,1.1594,4.7951,9.8604,33.4872,49.0657,19.6736,1.49,43.97,3.46,0.0,0.0,0.0,0.0,14.2343,24.3594
UsersEmotions,lm_results,item,user_all,10,20,0.2,1.5083,6.6299,12.7983,40.3084,56.1009,23.4692,3.23,66.76,3.68,0.0,0.0,0.0,0.0,27.7968,24.3437
UsersEmotions,lm_results,item,user_all,10,5,0.3,1.0693,4.9977,9.1851,31.1571,48.5029,18.9824,1.64,31.43,3.43,0.0,0.0,0.0,0.0,7.1406,24.3906
UsersEmotions,lm_results,item,user_all,10,10,0.3,1.362,6.9451,13.0572,40.1508,55.6506,23.4331,3.85,64.49,3.68,0.0,0.0,0.0,0.0,13.9375,24.2968
UsersEmotions,lm_results,item,user_all,10,20,0.3,1.756,7.9356,15.466,44.8334,60.4683,26.0919,6.31,75.3,3.87,0.0,0.0,0.0,0.0,27.0,24.3125
UsersEmotions,lm_results,none,none,30,5,0.01,1.0919,3.7708,6.6974,28.1067,44.3044,16.7942,0.72,3.34,3.31,0.0,0.0,0.0,0.0,1.6406,13.5156
UsersEmotions,lm_results,none,none,30,10,0.01,0.9568,3.9622,7.1702,29.2661,46.6682,17.6047,1.38,13.7,3.33,0.0,0.0,0.0,0.0,3.0781,13.4844
UsersEmotions,lm_results,none,none,30,20,0.01,0.9793,4.4687,8.3296,31.9676,49.032,18.9554,2.51,34.98,3.42,0.0,0.0,0.0,0.0,5.7812,13.4687
UsersEmotions,lm_results,none,none,30,5,0.05,0.9455,5.6168,11.0423,39.3629,57.0576,22.805,7.08,73.68,3.85,0.0,0.0,0.0,0.0,1.3281,13.3906
