data_comp,model,item_feat,user_feat,layer_size_list,embedding_size,learning_rate,epochs,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,RMSE,Coverage,Personalisation,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
(batch size 2048 / 4096)
UsersEmotions,2tnn_results,No,No,[32],64,0.01,4,0.4502,2.6565,4.9752,23.3904,36.4025,13.575,0.2752,10.36,71.0,5.37,0.0008,0.0,0.0,0.0,19.6562,9.75
UsersEmotions,2tnn_results,No,No,[32],64,0.1,4,0.3039,2.3413,4.9527,21.5781,34.4214,12.7195,0.1974,39.9,97.0,7.23,0.0,0.0,0.0,0.0,20.0625,9.7031
UsersEmotions,2tnn_results,No,No,[32],64,0.2,20,0.0,0.4615,1.4971,15.4322,29.9865,9.4755,0.1492,76.87,99.0,7.8,0.0,0.0,0.0,0.0,91.828,9.6719
UsersEmotions,2tnn_results,Yes,No,[16],64,0.01,18,0.4728,2.9941,6.1121,21.8933,34.4439,13.1833,0.2012,35.54,97.0,7.29,0.0,0.0,0.1754,0.1754,130.1274,10.5313
UsersEmotions,2tnn_results,Yes,No,[16],64,0.1,4,0.394,2.9379,6.2472,23.4692,36.8978,13.9892,0.2031,41.69,98.0,7.13,0.0008,0.0,0.0,0.1754,31.2656,10.2812
UsersEmotions,2tnn_results,Yes,No,[16],64,0.2,20,0.1013,0.9793,2.724,18.3814,31.9676,10.8307,0.1459,75.79,99.0,7.98,0.0,0.0,0.0,0.0,145.0293,10.4844
UsersEmotions,2tnn_results,Yes,No,[32],64,0.01,8,0.4052,2.5439,5.5718,22.6812,34.7479,13.19,0.208,27.03,96.0,7.1,0.0092,0.0,0.1754,0.7018,59.5781,10.6562
UsersEmotions,2tnn_results,Yes,No,[32],64,0.1,4,0.3039,2.5889,5.2454,22.7037,35.3782,13.244,0.2011,46.26,98.0,7.31,0.0033,0.0,0.0,0.1754,31.3437,10.6562
UsersEmotions,2tnn_results,Yes,No,[32],64,0.2,17,0.0225,0.5516,1.9361,16.2877,30.6506,9.8897,0.1523,75.9,99.0,7.89,0.0,0.0,0.0,0.0,123.6092,10.2969
UsersEmotions,2tnn_results,No,Yes,[16],64,0.01,16,0.5065,3.1405,5.8532,21.0941,32.8906,12.697,0.2032,39.33,97.0,7.37,0.0,0.0,0.0,0.0,74.1093,14.2656
UsersEmotions,2tnn_results,No,Yes,[16],64,0.1,4,0.5741,3.0279,5.9658,23.0414,35.2882,13.5795,0.1993,44.72,98.0,7.3,0.0,0.0,0.0,0.0,20.0156,14.2344
UsersEmotions,2tnn_results,No,Yes,[16],64,0.2,20,0.0675,1.1144,3.0842,18.7753,32.9919,11.2067,0.1474,76.41,99.0,8.0,0.0,0.0,0.0,0.0,92.2811,14.2031
UsersEmotions,2tnn_results,No,Yes,[32],64,0.01,9,0.4615,2.9041,5.9208,21.4318,32.4516,12.6339,0.2066,34.31,97.0,7.33,0.0,0.0,0.0,0.0,42.7499,14.2812
UsersEmotions,2tnn_results,No,Yes,[32],64,0.1,5,0.2251,2.0261,4.5137,20.1148,32.5416,11.8843,0.1942,65.79,99.0,7.72,0.0,0.0,0.0,0.0,24.7343,14.3281
UsersEmotions,2tnn_results,No,Yes,[32],64,0.2,18,0.0338,0.8555,2.3188,16.1526,30.2566,9.9235,0.1505,77.28,99.0,7.97,0.0,0.0,0.0,0.0,83.578,14.2812
UsersEmotions,2tnn_results,Yes,Yes,[16],64,0.01,12,0.6078,3.3994,6.326,22.4448,34.9054,13.5367,0.2041,37.49,97.0,7.32,0.0,0.0,0.0,0.0,88.3284,15.125
UsersEmotions,2tnn_results,Yes,Yes,[16],64,0.1,4,0.439,3.2193,6.3935,24.1445,36.7627,14.1918,0.1985,49.33,98.0,7.28,0.0,0.0,0.0,0.3509,31.4062,14.8281
UsersEmotions,2tnn_results,Yes,Yes,[16],64,0.2,20,0.1351,1.1932,3.1742,19.2368,33.6785,11.4836,0.1492,76.97,99.0,7.97,0.0,0.0,0.0,0.1754,145.828,15.0937
UsersEmotions,2tnn_results,Yes,Yes,[32],64,0.01,18,0.5628,3.4782,6.7087,23.1202,35.7271,13.9194,0.2008,59.79,98.0,7.35,0.0,0.0,0.0,0.0,131.0467,15.2969
